"sequence","level","type","identifier","name","datatype","multiplicity","domain_name","definition","module","class_term","id","path","semantic_path","abbreviation_path","label_local","definition_local","element","xpath","binding_scope","value_name","value_role","value_source","default_value","unit_ref_rule","decimals"
"0","0","D","","xbrlRoot","","1..1","","XBRL instance document root.","xbrl-gl","Document","DOC-ROOT","/DOC-ROOT","","","","XBRL instance root element.","xbrli:xbrl","/xbrli:xbrl","document","xbrlRoot","document_root","xbrl_instance","","none",""
"0","0","D","","contextRef","Identifier","1..1","","Default XBRL context reference.","xbrl-gl","Document","DOC-CONTEXT","/DOC-CONTEXT","","","","Default XBRL context reference. May be overridden at runtime.","","","document","contextRef","context","runtime_parameter","now","none",""
"1","0","C","","Invoice","","1..1","","EN 16931 invoice semantic root.","en16931","Invoice","BG-ROOT","/BG-ROOT","$.invoice","invoice","Invoice","Semantic parent group for ADS XBRL GL binding.","gl-cor:accountingEntries","/xbrli:xbrl/gl-cor:accountingEntries","container","Invoice","semantic_group","structured_csv_group","","none",""
"2","1","A","","Invoice Number","Identifier","1..1","","An invoice shall have an invoice number.","en16931","Invoice","BT-1","/BG-ROOT/BT-1","$.invoice.invoiceNumber","invoice.invoiceNumber","Invoice_ID","Unique identifier for the invoice associated with this invoice line.","gl-cor:documentReference","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentReference","fact","Invoice_ID","xbrl_fact","structured_csv_column","","none",""
"2","1","A","","Invoice Number","Identifier","1..1","","An invoice shall have an invoice number.","en16931","Invoice","BT-1","/BG-ROOT/BT-1","$.invoice.invoiceNumber","invoice.invoiceNumber","Invoice_Number","External invoice number associated with this invoice line.","gl-cor:documentNumber","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentNumber","fact","Invoice_Number","xbrl_fact","structured_csv_column","","none",""
"3","1","A","","Invoice Issue Date","Date","1..1","","The date when the invoice was issued.","en16931","Invoice","BT-2","/BG-ROOT/BT-2","$.invoice.invoiceIssueDate","invoice.invoiceIssueDate","Invoice_Date","Invoice issue date associated with this invoice line.","gl-cor:documentDate","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentDate","fact","Invoice_Date","xbrl_fact","structured_csv_column","","none",""
"5","1","D","","documentCurrency","Code","1..1","","Default XBRL unit for invoice line monetary facts.","xbrl-gl","Document","DOC-CURRENCY","/DOC-CURRENCY","$.invoice.documentCurrencyCode","invoice.documentCurrencyCode","Document currency code","Currency used as the default unit for invoice line monetary facts.","","","document","DocumentCurrencyCode","unit","structured_csv_column","","DocumentCurrencyCode",""
"5","1","A","","Document Currency Code","Code","1..1","","The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.","en16931","Invoice","BT-5","/BG-ROOT/BT-5","$.invoice.documentCurrencyCode","invoice.documentCurrencyCode","Invoice_Line_Amount_Currency","Currency code for the invoice line amount.","gl-muc:amountCurrency","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-muc:amountCurrency","fact","Invoice_Line_Amount_Currency","xbrl_fact","structured_csv_column","","none",""
"154","1","C","","Invoice Line","","1..*","","information on individual Invoice lines.","en16931","Invoice line","BG-25","/BG-ROOT/BG-25","$.invoice.invoiceLine","invoice.invoiceLine","InvoiceLine","Semantic parent group for ADS XBRL GL binding.","gl-cor:entryDetail","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail","container","InvoiceLine","semantic_group","structured_csv_group","","none",""
"156","2","A","","Invoice Line Identifier","Identifier","1..1","","A unique identifier for the individual line within the Invoice.","en16931","Invoice line","BT-126","/BG-ROOT/BG-25/BT-126","$.invoice.invoiceLine.invoiceLineIdentifier","invoice.invoiceLine.invoiceLineIdentifier","Invoice_Line_ID","Unique identifier for the individual invoice line.","gl-cor:lineNumber","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:lineNumber","fact","Invoice_Line_ID","xbrl_fact","structured_csv_column","","none",""
"161","2","A","","Invoice Line Net Amount","Amount","1..1","","Line net amount.","en16931","Invoice line","BT-131","/BG-ROOT/BG-25/BT-131","$.invoice.invoiceLine.invoiceLineNetAmount","invoice.invoiceLine.invoiceLineNetAmount","Invoice_Line_Amount","Line net amount for the invoice line.","gl-cor:amount","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:amount","fact","Invoice_Line_Amount","xbrl_fact","structured_csv_column","","DocumentCurrencyCode",""
